# athena_event_details,athena id,external id,datetime,time error,time rms,latitude,longitude,ellipse major,ellipse minor,magnitude,magnitude type,depth (km),depth error,num. stations,num. phases,azimuth gap,analysis type,place,major place,athena database id,error ellipse max axis length (km),error ellipse max axis azimuth (deg),error ellipse max axis dip (deg),error ellipse intermediate axis length (km),error ellipse intermediate axis azimuth (deg),error ellipse intermediate axis dip (deg),error ellipse min axis length (km),error ellipse min axis azimuth (deg),error ellipse min axis dip (deg),seismic moment (N.m),corner frequency (Hz),stress drop (MPa),source radius (km),moment tensor np1 dip,moment tensor np1 strike,moment tensor np1 rake,tags,updated at,moment tensor np2 dip,moment tensor np2 strike,moment tensor np2 rake,event source type,reference elevation (km),horizontal error (km)
athena_event_details,20220611-5,,2022-06-11T02:05:53Z,,0.93,35.91566666666667,31.360166666666668,,,4.5,Ml,24.40,4.97,32,26,165.0,m,Mediterranean Sea,138.0 km NW of Polis,73199,5.08,349.0,78.0,3.08,209.0,8.0,1.38,118.0,8.0,,,,,,,,felt,2022-06-14T06:39:17.028Z,,,,Nanometrics,0.419,
athena_event_details,20220610-5,,2022-06-10T01:40:21Z,,0.32,34.872,33.898833333333336,,,4.9,Ml,43.04,1.15,26,38,197.0,m,FELT EARTHQUAKE,20.0 km SW of Paralimni,73160,1.77,357.0,40.0,1.27,122.0,33.0,0.72,236.0,32.0,,,,,,,,felt,2022-06-10T03:16:20.311Z,,,,Nanometrics,0.132,
athena_event_details,20220426-7,,2022-04-26T19:11:35Z,,0.81,34.713,32.50933333333333,,,4.7,Ml,20.00,31.61,28,41,94.0,m,FELT EARTHQUAKE,10.0 km SE of Pafos,72879,31.61,0.0,90.0,1.4,188.0,0.0,1.06,278.0,0.0,,,,,,,,felt,2022-04-26T21:45:27.664Z,,,,Nanometrics,0.091,
athena_event_details,20220202-6,,2022-02-02T21:03:48Z,,0.78,35.10783333333333,31.854,,,5.1,Ml,23.76,1.16,16,28,248.0,m,FELT EARTHQUAKE; Mediterranean Sea,53.0 km W of Polis,72488,2.91,144.0,10.0,1.88,46.0,38.0,1.44,246.0,50.0,,,,,,,,felt,2022-02-02T22:07:00.669Z,,,,Nanometrics,0.544,
athena_event_details,20220128-3,,2022-01-28T03:57:46Z,,0.66,35.16416666666667,31.936833333333333,,,4.5,Ml,22.79,0.73,31,48,133.0,m,FELT EARTHQUAKE; Mediterranean Sea,47.0 km W of Polis,72458,1.77,182.0,4.0,1.41,88.0,30.0,0.85,279.0,60.0,,,,,,,,felt,2022-01-28T07:10:15.783Z,,,,Nanometrics,0.111,
athena_event_details,20220111-7,,2022-01-11T01:07:48Z,,0.49,35.24366666666667,31.9295,,,6.5,Mw,25.56,0.79,22,33,165.0,m,FELT EARTHQUAKE; Mediterranean Sea,51.0 km NW of Polis,72360,1.57,190.0,6.0,1.13,92.0,44.0,0.67,286.0,45.0,,,,,74.0,109.0,88.0,felt,2023-02-09T09:40:57.433Z,15.0,293.0,93.0,Nanometrics,0.106,
athena_event_details,20220105-1,,2022-01-05T03:21:15Z,,0.55,36.095666666666666,31.272666666666666,,,5.3,Ml,83.17,6.29,31,27,175.0,m,FELT EARTHQUAKE; Mediterranean Sea,158.0 km NW of Polis,72338,6.3,23.0,87.0,2.34,214.0,2.0,1.13,124.0,1.0,,,,,,,,felt,2022-01-05T07:40:51.370Z,,,,Nanometrics,0.341,
athena_event_details,20210907-2,,2021-09-07T11:14:51Z,,0.4,36.13883333333333,30.4355,,,4.7,Ml,8.43,14.41,24,14,306.0,m,,219.0 km NW of Polis,71691,21.73,319.0,41.0,2.27,221.0,9.0,1.57,121.0,48.0,,,,,,,,"",2021-09-07T11:59:58.209Z,,,,Nanometrics,0.583,
athena_event_details,20210531-4,,2021-05-31T06:23:39Z,,0.27,35.195166666666665,32.78666666666667,,,4.3,Ml,50.00,31.61,29,20,202.0,m,FELT EARTHQUAKE,19.0 km W of Morphou,71374,31.61,0.0,90.0,1.79,183.0,0.0,0.68,273.0,0.0,,,,,,,,felt,2021-05-31T07:15:26.106Z,,,,Nanometrics,0.598,
athena_event_details,20210121-4,,2021-01-21T14:27:06Z,,0.36,35.030166666666666,33.77433333333333,,,5.0,Ml,56.74,1.27,20,34,159.0,m,FELT EARTHQUAKE,18.0 km NE of Larnaka,70911,2.37,176.0,8.0,1.44,69.0,62.0,0.72,270.0,26.0,,,,,,,,felt,2021-01-21T15:57:12.539Z,,,,Nanometrics,0.106,
athena_event_details,20201205-3,,2020-12-05T12:44:41Z,,0.42,36.1755,32.01866666666667,,,5.4,Ml,50.00,31.61,31,24,194.0,m,FELT EARTHQUAKE,132.0 km N of Polis,70757,31.61,0.0,90.0,2.41,220.0,0.0,0.9,310.0,0.0,,,,,,,,felt,2020-12-15T11:09:45.694Z,,,,Nanometrics,0.705,
athena_event_details,20200603-2,,2020-06-03T05:20:07Z,,0.49,35.115833333333335,29.204666666666668,,,4.6,Ml,35.40,35.17,19,19,154.0,m,Mediterranean Sea,294.0 km W of Polis,70063,35.18,353.0,88.0,1.72,205.0,1.0,0.92,115.0,1.0,,,,,,,,"",2020-06-03T09:16:30.428Z,,,,Nanometrics,0.346,
athena_event_details,20200415-12,,2020-04-15T08:18:35Z,,0.47,36.051833333333335,35.40983333333333,,,4.4,Ml,4.69,1.63,16,26,161.0,m,Mediterranean Sea,168.0 km NE of Ammochostos,69011,2.63,143.0,28.0,1.95,359.0,56.0,0.99,242.0,17.0,,,,,,,,"",2020-04-15T09:41:18.759Z,,,,Nanometrics,0.367,
athena_event_details,20200415-11,,2020-04-15T07:40:04Z,,0.55,35.971833333333336,35.450833333333335,,,4.6,Ml,10.16,2.73,19,30,157.0,m,Mediterranean Sea,166.0 km NE of Ammochostos,69010,3.29,133.0,56.0,2.45,336.0,32.0,0.99,239.0,11.0,,,,,,,,"",2020-04-15T09:15:26.182Z,,,,Nanometrics,0.292,
